To regenerate: 146 items
  [1/146] ok    Omelette (GF)
  [2/146] ok    Egg Toast
  [3/146] ok    Poached Egg & Bacon Bagel
  [4/146] ok    French Toast Benedict
  [5/146] ok    Good Morning Breakfast
  [6/146] ok    Hello Sunrise
  [7/146] ok    Cranberry Brie Toast
  [8/146] ok    French Toast x2 with Bacon & Maple Syrup
  [9/146] ok    Porridge
  [10/146] ok    Salmon Sunrise
  [11/146] ok    Smoothie Bowl
  [12/146] ok    Simply Morning
  [13/146] ok    Small Scoop
  [14/146] ok    Scrambled Egg Ciabatta
  [15/146] ok    Side of Bacon
  [16/146] ok    Tortilla Omelette
  [17/146] ok    Belgium Caramel Square
  [18/146] ok    Banana Bread
  [19/146] ok    Biscoff Rocky Road
  [20/146] ok    Cheesecake
  [21/146] ok    Black Forest Gateau
  [22/146] ok    Lemon Meringue
  [23/146] ok    Honey Cake
  [24/146] ok    Cookie Cake
  [25/146] ok    Red Velvet
  [26/146] ok    Rocky Road
  [27/146] ok    Strawberry Apple Pie
  [28/146] ok    Tiramisu
  [29/146] ok    Passionfruit Cake
  [30/146] ok    Rainbow Cake
  [31/146] ok    Peanut Butter Snickers Cake
  [32/146] ok    Brownie
  [33/146] ok    Zesty Lemon Cake
  [34/146] ok    Crumble Cookie
  [35/146] ok    Baby Soft Serve
  [36/146] ok    Protein Balls
  [37/146] ok    Large Soft Serve
  [38/146] ok    Regular Soft Serve
  [39/146] ok    Americano
  [40/146] ok    Dubai Chocolate
  [41/146] ok    Babyccino
  [42/146] ok    Cappuccino
  [43/146] ok    Espresso
  [44/146] ok    Einspanner
  [45/146] ok    Flat White
  [46/146] ok    Chai Latte
  [47/146] ok    Mocaccino
  [48/146] ok    Macchiato
  [49/146] ok    Creamy Matcha
  [50/146] ok    Latte
  [51/146] ok    Mocha / White Mocha
  [52/146] ok    Mango Matcha
  [53/146] ok    Matcha Latte
  [54/146] ok    Jasmine Brew Tea
  [55/146] ok    Matcha Tea
  [56/146] ok    Raspberry, Ginger & Lemon Tea
  [57/146] ok    Tea
  [58/146] ok    Choco Banana Golden Toast
  [59/146] ok    Apple Pie Golden Toast
