To regenerate: 170 items
  [1/170] ok    Butter & Jam Croissant
  [2/170] ok    Ham & Cheese Croissant
  [3/170] fail  id=23
  [4/170] ok    Lemon Croissant
  [5/170] fail  id=21
  [6/170] ok    Pistachio Croissant
  [7/170] ok    Beef & Mince Pie
  [8/170] ok    Cinnamon Bun
  [9/170] ok    Danish Pastry
  [10/170] ok    Muffins
  [11/170] ok    Pistachio Donut
  [12/170] ok    Sausage Roll
  [13/170] ok    Gluten Free Scone
  [14/170] ok    Fruit Scone
  [15/170] ok    Plain Scone
  [16/170] ok    Raspberry & White Chocolate Scone
  [17/170] ok    Acai Granola Bowl
  [18/170] ok    Breakfast Muffin
  [19/170] ok    Breakfast Taco
  [20/170] ok    Cranberry Brie Toast
  [21/170] ok    Egg Toast
